instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
USO,LONG,328,2024-08-02T20:00:00+00:00,76.781475,2024-09-04T20:00:00+00:00,69.914775,-2252.277599999998,48.11637,1.0,false
TLT,LONG,261,2024-08-02T20:00:00+00:00,96.12972500000001,2024-11-04T21:00:00+00:00,91.71015,-1153.5090750000022,49.026207375000006,1.0,false
TLT,LONG,44,2024-10-02T20:00:00+00:00,98.455525,2024-11-04T21:00:00+00:00,91.71015,-296.7964999999998,8.3672897,1.0,false
SPY,LONG,2,2023-02-02T21:00:00+00:00,414.363325,2024-12-03T21:00:00+00:00,602.49,376.25335000000007,22.7518729,1.0,false
QQQ,LONG,1,2023-02-02T21:00:00+00:00,306.374025,2024-12-03T21:00:00+00:00,514.021725,207.64769999999993,32.989668375,1.0,false
QQQ,LONG,1,2023-05-02T20:00:00+00:00,323.135825,2024-12-03T21:00:00+00:00,514.021725,190.88589999999994,0.8371575499999999,1.0,false
IWM,LONG,11,2024-01-03T21:00:00+00:00,199.23685,2024-12-03T21:00:00+00:00,241.18552499999998,461.4354249999998,5.479597207710281,1.0,false
QQQ,LONG,1,2023-05-02T20:00:00+00:00,323.135825,2025-01-03T21:00:00+00:00,510.650175,187.51434999999998,0.84388399453125,1.0,false
GLD,LONG,3,2023-11-02T20:00:00+00:00,184.5803,2025-01-03T21:00:00+00:00,244.32765,179.24205000000003,1.6664318957142858,1.0,false
GLD,LONG,4,2023-11-02T20:00:00+00:00,184.5803,2025-02-04T21:00:00+00:00,259.240275,298.6399,2.318165535294118,1.0,false
IWM,LONG,96,2024-01-03T21:00:00+00:00,199.23685,2025-03-04T21:00:00+00:00,208.1583,856.4591999999993,47.4778821,1.0,false
IWM,LONG,3,2024-04-02T20:00:00+00:00,209.452325,2025-03-04T21:00:00+00:00,208.1583,-3.8820750000000146,1.252831875,1.0,false
IWM,LONG,5,2024-07-02T20:00:00+00:00,200.6604,2025-03-04T21:00:00+00:00,208.1583,37.489499999999936,2.0440935,1.0,false
IWM,LONG,23,2024-10-02T20:00:00+00:00,217.60265,2025-03-04T21:00:00+00:00,208.1583,-217.22005000000033,9.79250185,1.0,false
IWM,LONG,9,2025-01-03T21:00:00+00:00,222.0738,2025-03-04T21:00:00+00:00,208.1583,-125.23950000000008,3.8720889,1.0,false
IWM,LONG,1,2025-02-04T21:00:00+00:00,223.75799999999998,2025-03-04T21:00:00+00:00,208.1583,-15.599699999999984,0.4319163,1.0,false
USO,LONG,392,2025-01-03T21:00:00+00:00,76.961925,2025-03-04T21:00:00+00:00,72.368625,-1800.5735999999997,58.5375756,1.0,false
USO,LONG,10,2025-02-04T21:00:00+00:00,76.6311,2025-03-04T21:00:00+00:00,72.368625,-42.62475000000009,1.48999725,1.0,false
SPY,LONG,1,2023-02-02T21:00:00+00:00,414.363325,2025-04-02T20:00:00+00:00,558.1610999999999,143.79777499999994,32.87850045,1.0,false
SPY,LONG,26,2023-05-02T20:00:00+00:00,416.41845,2025-04-02T20:00:00+00:00,558.1610999999999,3685.3088999999977,25.339068299999994,1.0,false
SPY,LONG,16,2023-11-02T20:00:00+00:00,425.00987499999997,2025-04-02T20:00:00+00:00,558.1610999999999,2130.4195999999993,15.730735599999997,1.0,false
SPY,LONG,1,2024-04-02T20:00:00+00:00,523.04435,2025-04-02T20:00:00+00:00,558.1610999999999,35.11674999999991,1.08120545,1.0,false
SPY,LONG,7,2024-10-02T20:00:00+00:00,569.3398,2025-04-02T20:00:00+00:00,558.1610999999999,-78.25090000000034,7.892506299999999,1.0,false
QQQ,LONG,31,2023-05-02T20:00:00+00:00,323.135825,2025-04-02T20:00:00+00:00,469.72274999999996,4544.194674999999,25.224887474999996,1.0,false
QQQ,LONG,18,2023-11-02T20:00:00+00:00,359.967675,2025-04-02T20:00:00+00:00,469.72274999999996,1975.5913499999997,14.93442765,1.0,false
QQQ,LONG,2,2024-04-02T20:00:00+00:00,445.54107500000003,2025-04-02T20:00:00+00:00,469.72274999999996,48.363349999999855,1.83052765,1.0,false
QQQ,LONG,8,2024-10-02T20:00:00+00:00,481.751375,2025-04-02T20:00:00+00:00,469.72274999999996,-96.22900000000027,7.611793,1.0,false
GLD,LONG,95,2023-11-02T20:00:00+00:00,184.5803,2025-06-03T20:00:00+00:00,308.9058,11810.9225,61.01664022959183,1.0,false
SPY,LONG,34,2025-06-03T20:00:00+00:00,591.33465,2025-07-02T20:00:00+00:00,616.824075,866.6404499999994,41.077396650000004,1.0,false
QQQ,LONG,40,2025-06-03T20:00:00+00:00,522.6634,2025-07-02T20:00:00+00:00,546.460425,951.8809999999985,42.764953000000006,1.0,false
GLD,LONG,3,2023-11-02T20:00:00+00:00,184.5803,2025-07-02T20:00:00+00:00,306.282375,365.106225,33.589560225,1.0,false
GLD,LONG,1,2024-03-04T21:00:00+00:00,193.512575,2025-07-02T20:00:00+00:00,306.282375,112.7698,0.49979494999999996,1.0,false
GLD,LONG,4,2024-07-02T20:00:00+00:00,216.18912500000002,2025-07-02T20:00:00+00:00,306.282375,360.37299999999993,2.089886,1.0,false
GLD,LONG,12,2024-10-02T20:00:00+00:00,245.95335,2025-07-02T20:00:00+00:00,306.282375,723.9483,6.6268287,1.0,false
GLD,LONG,4,2024-12-03T21:00:00+00:00,244.83055,2025-07-02T20:00:00+00:00,306.282375,245.80730000000005,2.2044517,1.0,false
GLD,LONG,37,2025-04-02T20:00:00+00:00,288.890425,2025-07-02T20:00:00+00:00,306.282375,643.5021500000003,22.021393599999996,1.0,false
SPY,LONG,14,2025-06-03T20:00:00+00:00,591.33465,2025-09-03T20:00:00+00:00,640.3551,686.2862999999998,22.762779900000005,1.0,false
QQQ,LONG,15,2025-06-03T20:00:00+00:00,522.6634,2025-09-03T20:00:00+00:00,566.56005,658.4497500000003,21.84007175,1.0,false
GLD,LONG,30,2025-04-02T20:00:00+00:00,288.890425,2025-09-03T20:00:00+00:00,324.60645,1071.4807500000002,21.548713816176466,1.0,false
USO,LONG,96,2025-08-04T20:00:00+00:00,77.8742,2025-09-03T20:00:00+00:00,76.199025,-160.8167999999996,14.791029599999998,1.0,false
SPY,LONG,1,2025-06-03T20:00:00+00:00,591.33465,2025-10-02T20:00:00+00:00,667.6068,76.27215000000001,2.0260782932432435,1.0,false
